star_id,pl_orbper,pl_tranmid,pl_trandurh,mission
EPIC 246389858,1.208974,2457738.8259,1.25976,k2
EPIC 246911830,2.62669762,2457894.284876,4.19904,k2
EPIC 211311380,278.3618,2457166.2604,12.71,k2
EPIC 249801827,20.523,2458005.722,3.192,k2
EPIC 245950175,5.40479,2457743.15989,2.7,k2
EPIC 210818897,53.5,2459481.7967,7.45,k2
EPIC 245950175,2.35309,2457773.31683,2.01,k2
EPIC 211964830,5.840002,2458102.59177,1.884,k2
EPIC 229426032,2.18053332,2457706.61618,2.92728,k2
EPIC 246389858,6.20183,2460265.10196,1.2264,k2
EPIC 248777106,11.8143,2457913.8052,5.7336,k2
EPIC 246193072,12.4551225,2457773.157267,3.621,k2
EPIC 201498078,11.6334681,2458151.14392,5.1288,k2
EPIC 211964830,19.660302,2458117.09169,2.618,k2
EPIC 246199087,2.421937,2457282.8113871,0.7005,k2
EPIC 246471491,10.45582,2457745.201,2.504,k2
EPIC 228724232,5.7214742,2459958.747244,2.73864,k2
EPIC 247887989,11.02454,2457826.1709,2.32,k2
EPIC 247418783,2.225177,2457830.06163,1.719,k2
EPIC 248847494,3650.0,2457967.17,53.6,k2
EPIC 211311380,542.07975,2457186.91423,18.998,k2
EPIC 247589423,7.9752,2457817.7563,2.67,k2
EPIC 248545986,5.24,2457908.191,1.4664,k2
EPIC 248435473,0.658524,2457949.6747,0.33336,k2
EPIC 211311380,31.70603,2457163.1609,2.33263213009818,k2
EPIC 60017806,3.40883495,2457642.502126,3.2388,k2
EPIC 248435473,19.482,2457938.541,3.6648,k2
EPIC 246199087,12.352446,2457665.3628439,1.137,k2
EPIC 211311380,15.57208,2457152.2818,4.931,k2
EPIC 248545986,10.115,2457908.381,1.8384,k2
EPIC 249889081,27.359,2458010.417,3.0,k2
EPIC 246199087,1.510826,2457322.514193,0.601,k2
EPIC 246441449,4.5334775,2457763.676241,3.6643,k2
EPIC 212779563,6.00127,2458191.361449,1.33,k2
EPIC 249893012,3.5951,2457994.396,4.33,k2
EPIC 249893012,35.747,2458008.652,9.56,k2
EPIC 246471491,7.138048,2457744.53906,2.52,k2
EPIC 245950175,41.96797,2457773.86156,4.75,k2
EPIC 248480671,2.2979749,2458141.26759,1.1472,k2
EPIC 246199087,4.049219,2457670.1463014,0.8145,k2
EPIC 249624646,48.36685,2458019.17333,8.14,k2
EPIC 245950175,3.56004,2457740.32182,2.38,k2
EPIC 210897587,40.718,2457782.8324,4.464,k2
EPIC 247887989,26.5841,2457837.8657,1.44,k2
EPIC 246389858,3.648103,2457742.2,1.8264,k2
EPIC 247887989,4.86784,2457823.7686,1.62,k2
EPIC 249622103,2.467583,2457991.6897,1.882,k2
EPIC 246471491,3.471745,2457743.37545,2.18,k2
EPIC 247887989,3.07133,2457821.315,1.22,k2
EPIC 249910734,1.62116,2458039.1317,3.28,k2
EPIC 245943455,6.33932,2457741.79456,3.02,k2
EPIC 245991048,8.58289,2457742.782,3.1,k2
EPIC 245991048,20.851337,2457747.1012,5.2,k2
EPIC 245995977,3.312792,2457739.9029,2.097,k2
EPIC 246074314,4.622654,2457741.5165,2.7,k2
EPIC 246084398,15.398723,2457739.6737,3.5,k2
EPIC 210797580,2.14084,2457822.184,1.569,k2
EPIC 246891819,4.803352,2457825.0089,2.5,k2
EPIC 246891819,8.491282,2457823.5786,2.3,k2
EPIC 246953392,0.673862,2457820.9636,1.6,k2
EPIC 247383003,3.572326,2457823.5751,1.3,k2
