star_id,score_raw,p_highclass
TIC 293432942,0.677477,0
TIC 110936761,0.827240,0
TIC 75650448,0.736848,0
KIC 9837544,0.708697,0
TIC 76706043,0.870566,0
EPIC 229103251,0.759427,0
TIC 459323923,0.840403,0
EPIC 211563123,0.664996,0
EPIC 212572439,0.787717,0
TIC 381591826,0.642266,0
TIC 373729723,0.811722,0
TIC 110828766,0.829798,0
KIC 9474222,0.721448,0
HIP 17704,0.700745,0
KIC 4839180,0.727521,0
TIC 1100766816,0.790731,0
TIC 239159011,0.760189,0
K2-201,0.693870,0
K2-170,0.713665,0
EPIC 212421673,0.755890,0
TIC 166495921,0.797584,0
EPIC 203070421,0.819931,0
EPIC 212813907,0.807604,0
TIC 330885564,0.791952,0
KIC 8701327,0.688371,0
TIC 65446983,0.808924,0
TIC 46020827,0.778044,0
TIC 307951656,0.740467,0
K2-33,0.771771,0
EPIC 212346723,0.777399,0
KIC 3098197,0.686171,0
TIC 11755687,0.672946,0
TIC 181748381,0.588922,0
TIC 808243,0.812566,0
TIC 131312528,0.712010,0
TIC 405230669,0.790131,0
TIC 95423778,0.790106,0
KIC 3938073,0.724527,0
TIC 311284709,0.824867,0
TIC 301343785,0.713672,0
EPIC 206535016,0.753682,0
EPIC 210877025,0.777664,0
EPIC 206114630,0.652263,0
TIC 277329402,0.795138,0
TIC 144125079,0.637473,0
K2-32,0.747646,0
TIC 437444661,0.747646,0
K2-28,0.798138,0
TIC 39926974,0.798138,0
TIC 387416841,0.803446,0
KIC 10208759,0.633765,0
EPIC 206298289,0.773801,0
EPIC 218304292,0.765081,0
TIC 259381479,0.796151,0
EPIC 212351405,0.828797,0
KIC 5471606,0.676870,0
KIC 4578594,0.634126,0
EPIC 202072965,0.744811,0
K2-289,0.776998,0
TIC 428685938,0.793276,0
KIC 5392897,0.681912,0
EPIC 211432167,0.583877,0
EPIC 211432176,0.583877,0
KIC 6307537,0.768758,0
EPIC 205703094,0.818480,0
TIC 376454594,0.779623,0
K2-380,0.799451,0
EPIC 215894766,0.785068,0
KIC 3247294,0.704761,0
EPIC 213817056,0.790961,0
EPIC 212085654,0.607991,0
EPIC 206317286,0.794994,0
TIC 281118572,0.785853,0
TIC 154400369,0.716443,0
TIC 89417257,0.828757,0
TIC 251803342,0.767569,0
TIC 5709314,0.637624,0
TIC 31858844,0.768523,0
KIC 5807579,0.720592,0
TIC 67622702,0.788559,0
KIC 10074700,0.599414,0
TIC 173706852,0.596926,0
TIC 281100535,0.782649,0
EPIC 206311743,0.724050,0
KIC 6699562,0.667011,0
EPIC 212085740,0.619988,0
TIC 351652998,0.790753,0
EPIC 202710713,0.829132,0
KIC 11966557,0.688682,0
TIC 186810676,0.758367,0
KIC 10666592,0.586182,0
KIC 9785454,0.654554,0
EPIC 206151047,0.719982,0
TIC 139375960,0.735704,0
KIC 3098184,0.662677,0
TIC 65440953,0.742406,0
EPIC 215171927,0.771641,0
KIC 9119405,0.705074,0
KIC 9284741,0.708572,0
EPIC 212424622,0.796802,0
TIC 267617257,0.768017,0
KIC 8589754,0.702985,0
KIC 4931073,0.670578,0
TIC 387346503,0.764760,0
KIC 6042116,0.729887,0
TIC 14435301,0.621302,0
TIC 279851358,0.787049,0
TIC 156377968,0.777973,0
TIC 420962989,0.809071,0
TIC 67630845,0.627651,0
TIC 260776145,0.769848,0
KIC 4950557,0.739195,0
KIC 8453191,0.683425,0
KIC 4356766,0.632964,0
TIC 196973090,0.641921,0
TIC 141202786,0.775845,0
TIC 224217761,0.743047,0
TIC 431899140,0.782274,0
TIC 253857911,0.735367,0
EPIC 216212516,0.700717,0
EPIC 214611894,0.741358,0
KIC 10711551,0.678455,0
EPIC 211432922,0.757580,0
EPIC 206192335,0.751858,0
TIC 101272159,0.721706,0
TIC 387791274,0.762854,0
TIC 18021087,0.744220,0
EPIC 202059377,0.581905,0
KIC 7033748,0.611971,0
EPIC 213840781,0.786215,0
EPIC 205652650,0.725917,0
KIC 3230787,0.691116,0
KIC 8414159,0.697105,0
KIC 9957668,0.694029,0
K2-316,0.785521,0
TIC 458458156,0.795843,0
TIC 291580615,0.632033,0
TIC 217980791,0.587008,0
TIC 420814525,0.579100,0
KIC 11671429,0.611468,0
EPIC 201569483,0.674780,0
EPIC 220201207,0.644123,0
KIC 5473556,0.675141,0
TIC 180931993,0.642779,0
EPIC 250106132,0.766850,0
TIC 435673126,0.620465,0
TIC 293407882,0.772160,0
TIC 103865797,0.750208,0
TIC 237736186,0.667229,0
KIC 11615481,0.653401,0
EPIC 205050711,0.746221,0
KIC 9163674,0.613600,0
EPIC 212636654,0.587227,0
TIC 289076007,0.588111,0
EPIC 202071635,0.583026,0
EPIC 251380988,0.570955,0
TIC 420645189,0.562054,0
EPIC 215364084,0.788773,0
K2-192,0.719303,0
TIC 160180298,0.627971,0
K2-69,0.774613,0
KIC 4375101,0.664156,0
KIC 11558882,0.648922,0
KIC 12164634,0.662109,0
KIC 5264304,0.643564,0
EPIC 219114906,0.784523,0
EPIC 201619647,0.746718,0
TIC 141074654,0.753396,0
TIC 311116297,0.741429,0
EPIC 246048459,0.763666,0
EPIC 205530323,0.745917,0
TIC 397653875,0.762667,0
TIC 319568755,0.570092,0
EPIC 201291843,0.760557,0
KIC 10753734,0.704769,0
TIC 313835568,0.763410,0
EPIC 245928102,0.720493,0
TIC 354032153,0.666390,0
TIC 119178132,0.779827,0
EPIC 249217834,0.736737,0
K2-407,0.746211,0
TIC 399402994,0.756534,0
EPIC 212796016,0.685144,0
TIC 51318828,0.694818,0
EPIC 206500801,0.725389,0
TIC 319855425,0.716983,0
KIC 7597703,0.683654,0
EPIC 206152015,0.665442,0
K2-159,0.673210,0
KIC 6672229,0.654751,0
EPIC 246022853,0.659181,0
EPIC 204432860,0.717706,0
TIC 431899136,0.732575,0
EPIC 246260670,0.791850,0
TIC 49411575,0.629592,0
TIC 323250919,0.769602,0
TIC 701926762,0.743863,0
TIC 232194097,0.614714,0
TIC 396935099,0.634447,0
EPIC 213951550,0.750282,0
TIC 92443533,0.718343,0
KIC 11761199,0.609353,0
EPIC 218952024,0.716905,0
TIC 323022088,0.734839,0
EPIC 246448041,0.713561,0
EPIC 246366798,0.762841,0
EPIC 212661144,0.760366,0
EPIC 226042826,0.737475,0
TIC 23111,0.609418,0
K2-293,0.723584,0
TIC 156514476,0.741473,0
TIC 214515989,0.594066,0
EPIC 246317113,0.760697,0
KIC 12208887,0.650172,0
KIC 3449540,0.639544,0
TIC 56658270,0.557885,0
KIC 6949550,0.668693,0
EPIC 203867512,0.669331,0
TIC 418012030,0.777200,0
TIC 221656234,0.765257,0
KIC 6603043,0.611861,0
TIC 253788533,0.767383,0
EPIC 203942067,0.688453,0
TIC 425220920,0.711244,0
KIC 7177553,0.712182,0
EPIC 213919434,0.724031,0
TIC 377622130,0.622699,0
KIC 10491031,0.634004,0
EPIC 212773309,0.691412,0
KIC 4659255,0.614072,0
KIC 10616656,0.662535,0
