Manual 64 model disagreement / failure-mode report
generated_at=2026-06-01T20:10:43
source=manual_64_training_view.csv

columns=epic_id, manual_label, cnn_score, primary_depth_snr, odd_even_depth_ratio, oot_to_depth, candidate_period_count, alias_risk, fallback_period_flag, duration_fraction_of_period, failure_mode, autovet_v2_penalty

A. CNN high-confidence false positives
count=15
epic_id | manual_label | cnn_score | primary_depth_snr | odd_even_depth_ratio | oot_to_depth | candidate_period_count | alias_risk | fallback_period_flag | duration_fraction_of_period | failure_mode | autovet_v2_penalty
EPIC_211805860 | uncertain_hold | 0.979912 | 29.669 | 0.957 | 1.48 | 0 | review | true | 0.0345209 | noise_artifact_signature | 0.24
EPIC_211844348 | noise_or_artifact | 0.80625 | 59.0231 | 0.949 |  | 0 |  | true |  | noise_artifact_signature | 0.06
EPIC_211902535 | noise_or_artifact | 0.888558 | 53.5123 | 0.68 |  | 0 |  | true | 0.0709877 | noise_artifact_signature | 0.06
EPIC_211911273 | noise_or_artifact | 0.780082 | 525.129 | 0.776 |  | 0 |  | true | 0.147716 | noise_artifact_signature | 0.06
EPIC_211915147 | candidate_like | 0.950089 | 13.2243 | 0.983 | 0.69 | 0 |  | true | 0.191989 | noise_artifact_signature | 0.06
EPIC_211920612 | reject_as_noise_or_artifact | 0.822831 | 1414.66 | 0.304 |  | 0 | pass | true |  | noise_artifact_signature | 0.06
EPIC_211933215 | reject_as_noise_or_artifact | 0.731265 | 85.6721 |  |  | 1039 |  | true |  | noise_artifact_signature | 0.06
EPIC_211935518 | low_priority_negative | 0.769432 | 227.31 | 0.929 |  | 751 |  | true |  | noise_artifact_signature | 0.06
EPIC_211939206 | low_priority_negative | 0.735696 | 97.8051 | 0.712 |  | 1671 | moderate | true |  | noise_artifact_signature | 0.06
EPIC_211942823 | reject_as_noise_or_artifact | 0.687399 | 92.0631 | 0.702 |  | 1049 | high | true |  | noise_artifact_signature | 0.06
EPIC_211944670 | low_priority_negative | 0.980615 | 5.902 | 0.721 |  | 865 | moderate | true |  | noise_artifact_signature | 0.06
EPIC_211945246 | low_priority_negative | 0.742148 | 37.346 | 0.786 | 0.0119 | 698 |  | true |  | noise_artifact_signature | 0.06
EPIC_211945592 | reject_as_noise_or_artifact | 0.681645 | 178.528 | 0.845 | 0.249 | 1248 |  | true |  | noise_artifact_signature | 0.06
EPIC_211949114 | reject_as_noise_or_artifact | 0.661673 | 142.684 | 0.885 | 0.288 | 1258 |  | true |  | noise_artifact_signature | 0.06
