pl_name,k2_name,epic_hostname,default_flag,disposition,disp_refname,k2_campaigns,pl_orbper,rowupdate,releasedate
"K2-321 b","K2-321 b","EPIC 248480671",0,"CONFIRMED","Castro Gonz&aacute;lez et al. 2020","14",2.29799150846,"2024-12-10","2024-12-10"
"K2-321 b","K2-321 b","EPIC 248480671",0,"CONFIRMED","Castro Gonz&aacute;lez et al. 2020","14",2.29800000000,"2020-09-09","2020-09-09 17:06:00"
"K2-400 b","K2-400 b","EPIC 248518307",1,"CONFIRMED","Christiansen et al. 2022","14",3.86505300000,"2022-03-16","2022-03-16"
"K2-400 b","K2-400 b","EPIC 248518307",0,"CONFIRMED","Christiansen et al. 2022","14",3.86505300000,"2021-11-19","2021-11-19"
"EPIC 248526480.01",,"EPIC 248526480",1,"CANDIDATE","Zink et al. 2021","14",18.43694400000,"2021-11-19","2021-11-19"
"K2-401 b","K2-401 b","EPIC 248527514",1,"CONFIRMED","Christiansen et al. 2022","14",6.29309900000,"2022-03-16","2022-03-16"
"K2-401 b","K2-401 b","EPIC 248527514",0,"CONFIRMED","Christiansen et al. 2022","14",6.29309900000,"2021-11-19","2021-11-19"
"EPIC 248527709.01",,"EPIC 248527709",1,"CANDIDATE","Zink et al. 2021","14",5.75176300000,"2021-11-19","2021-11-19"
"EPIC 248527709.01",,"EPIC 248527709",0,"CANDIDATE","Zink et al. 2021","14",5.75194750000,"2022-08-09","2022-08-09"
"EPIC 248527709.02",,"EPIC 248527709",1,"CANDIDATE","Zink et al. 2021","14",10.47276400000,"2021-11-19","2021-11-19"
"K2-239 b","K2-239 b","EPIC 248545986",1,"CONFIRMED","D&iacute;ez Alonso et al. 2018","14",5.24000000000,"2018-06-26","2018-06-21"
"K2-239 c","K2-239 c","EPIC 248545986",1,"CONFIRMED","D&iacute;ez Alonso et al. 2018","14",7.77500000000,"2018-06-26","2018-06-21"
"K2-239 d","K2-239 d","EPIC 248545986",1,"CONFIRMED","D&iacute;ez Alonso et al. 2018","14",10.11500000000,"2018-06-26","2018-06-21"
"K2-322 b","K2-322 b","EPIC 248558190",1,"CONFIRMED","Castro Gonz&aacute;lez et al. 2020","14",8.20500000000,"2020-09-09","2020-09-09 17:06:01"
"EPIC 248574836.01",,"EPIC 248574836",1,"CANDIDATE","Zink et al. 2021","14",3.91768200000,"2021-11-19","2021-11-19"
"K2-323 b","K2-323 b","EPIC 248616368",1,"CONFIRMED","Castro Gonz&aacute;lez et al. 2020","14",24.93000000000,"2020-09-09","2020-09-09 17:06:02"
"K2-402 b","K2-402 b","EPIC 248621597",1,"CONFIRMED","Christiansen et al. 2022","14",17.27474000000,"2022-03-16","2022-03-16"
"K2-402 b","K2-402 b","EPIC 248621597",0,"CONFIRMED","Christiansen et al. 2022","14",17.27474000000,"2021-11-19","2021-11-19"
"K2-324 b","K2-324 b","EPIC 248639308",1,"CONFIRMED","Castro Gonz&aacute;lez et al. 2020","14",3.26200000000,"2020-09-09","2020-09-09 17:06:02"
"EPIC 248639411.01",,"EPIC 248639411",1,"CANDIDATE","Zink et al. 2021","14",3.57739400000,"2021-11-19","2021-11-19"
"EPIC 248639411.01",,"EPIC 248639411",0,"CANDIDATE","Zink et al. 2021","14",3.57750100000,"2025-03-03","2025-03-03"
"EPIC 248740016.01",,"EPIC 248740016",1,"CANDIDATE","Zink et al. 2021","14",14.39072100000,"2021-11-19","2021-11-19"
"EPIC 248740571.01",,"EPIC 248740571",1,"CANDIDATE","Zink et al. 2021","14",9.03224800000,"2021-11-19","2021-11-19"
"EPIC 248740571.02",,"EPIC 248740571",1,"CANDIDATE","Zink et al. 2021","14",16.10017800000,"2021-11-19","2021-11-19"
"EPIC 248740905.01",,"EPIC 248740905",1,"CANDIDATE","Zink et al. 2021","14",2.49115400000,"2021-11-19","2021-11-19"
"K2-403 b","K2-403 b","EPIC 248758353",1,"CONFIRMED","Christiansen et al. 2022","14",33.58997900000,"2022-03-16","2022-03-16"
"K2-403 b","K2-403 b","EPIC 248758353",0,"CONFIRMED","Christiansen et al. 2022","14",33.58997900000,"2021-11-19","2021-11-19"
"K2-403 b","K2-403 b","EPIC 248758353",0,"CONFIRMED","Christiansen et al. 2022","14",33.59202550000,"2024-02-05","2024-02-05"
"EPIC 248775938.01",,"EPIC 248775938",1,"CANDIDATE","Castro Gonz&aacute;lez et al. 2020","14",1.75400000000,"2022-03-28","2022-03-28"
"HD 89345 b","K2-234 b","EPIC 248777106",1,"CONFIRMED","Van Eylen et al. 2018","14",11.81430000000,"2018-08-21","2018-08-23"
"HD 89345 b","K2-234 b","EPIC 248777106",0,"CONFIRMED","Van Eylen et al. 2018","14",11.81399000000,"2018-08-21","2018-05-31"
"HD 89345 b","K2-234 b","EPIC 248777106",0,"CONFIRMED","Van Eylen et al. 2018","14",11.81417261526,"2022-08-09","2022-08-09"
