feature,normalized_label,rows,missing_count,missing_fraction
cnn_embedding_018,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_018,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_019,candidate_like,9,0,0.0
cnn_embedding_019,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_019,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_020,candidate_like,9,0,0.0
cnn_embedding_020,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_020,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_021,candidate_like,9,0,0.0
cnn_embedding_021,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_021,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_022,candidate_like,9,0,0.0
cnn_embedding_022,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_022,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_023,candidate_like,9,0,0.0
cnn_embedding_023,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_023,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_024,candidate_like,9,0,0.0
cnn_embedding_024,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_024,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_025,candidate_like,9,0,0.0
cnn_embedding_025,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_025,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_026,candidate_like,9,0,0.0
cnn_embedding_026,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_026,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_027,candidate_like,9,0,0.0
cnn_embedding_027,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_027,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_028,candidate_like,9,0,0.0
cnn_embedding_028,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_028,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_029,candidate_like,9,0,0.0
cnn_embedding_029,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_029,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_030,candidate_like,9,0,0.0
cnn_embedding_030,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_030,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_031,candidate_like,9,0,0.0
cnn_embedding_031,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_031,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_032,candidate_like,9,0,0.0
cnn_embedding_032,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_032,reject_as_noise_or_artifact,174,0,0.0
